ChemicalID,ChemicalName,CAS Number,Lab,Qty,Units,Phase,Room,Location,SubLocation,Status,Plasmid Name,Primary Box,Secondary Box,Primary Tube,Secondary Tube,Primary Date Deposited,Secondary Date Deposited,Primary Deposited By,Secondary Deposited By,Primary Preparation/Concentration,Secondary Preparation/Concentration,Primary Reference,Secondary Reference,System,Organism,gene,Fragment Size,Mutations,Vector,Markers,Hosts,Notebook Reference,Source,File,Freezer ID,Freezer Name,Shelf ID,Shelf Name,Rack ID,Rack Name,Drawer ID,Drawer Name,Category ID,Category Name,Box ID,Box Name,Item Group ID,Item Group Name,Item ID,Item Name,Row,Column,Concentration,Volume/Mass,Expires On,Created On,Notes,Catalog #,Packaging,Price,Lot,Item Type,GHS Hazard Codes,SDS URL,Storage Class,Min Stock Level,Reorder Qty
,Amikacin,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Amikacin,,,,5 g,,2026-08-10T21:24:04.666Z,,,,,,Sample,,,,,
,Streptomycin,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Streptomycin,,,,50 g,,2026-08-10T21:24:48.813Z,,,,,,Sample,,,,,
,Tobramycin,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Tobramycin,,,,500 mg,,2026-08-10T21:25:08.147Z,,,,,,Sample,,,,,
,HisPur Cobalt Resin,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,HisPur Cobalt Resin,,,,,,2026-08-10T21:25:27.276Z,cross-linked 6% beaded agarose,,,,,Sample,,,,,
,Rifampin,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Rifampin,,,,1 g,,2026-08-10T21:26:01.829Z,,,,,,Sample,,,,,
,"Protoporphyrin IX, 95%",,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,"Protoporphyrin IX, 95%",,,,,,2026-08-10T21:26:22.400Z,,,,,,Sample,,,,,
,"Iodoacetic Acid, 99.0%",,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,"Iodoacetic Acid, 99.0%",,,,25 g,,2026-08-10T21:27:00.437Z,,,,,,Sample,,,,,
,Neutral Red,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Neutral Red,,,,5 g,,2026-08-10T21:27:28.645Z,,,,,,Sample,,,,,
,Anzergent 3-12,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Anzergent 3-12,,,,25 g,,2026-08-10T21:27:42.584Z,,,,,,Sample,,,,,
,Detoxi-Gel Endotoxin Removing Resin,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Detoxi-Gel Endotoxin Removing Resin,,,,10 mL,,2026-08-10T21:36:51.716Z,50% Slurry in 25% etOH,,,,,Sample,,,,,
